revenuedate,totalrevenue
2021-02-07 00:00:00.000000,2875.037
2021-02-08 00:00:00.000000,5870.5952
2021-02-09 00:00:00.000000,8535.0819
2021-02-10 00:00:00.000000,6698.9317
2021-02-11 00:00:00.000000,6264.1576
2021-02-12 00:00:00.000000,8512.1479
2021-02-13 00:00:00.000000,10626.4646
2021-02-14 00:00:00.000000,9562.1029
2021-02-15 00:00:00.000000,9235.445
2021-02-16 00:00:00.000000,7938.79
2021-02-17 00:00:00.000000,15717.5878
2021-02-18 00:00:00.000000,17990.2391
2021-02-19 00:00:00.000000,15227.9991
2021-02-20 00:00:00.000000,12095.4072
2021-02-21 00:00:00.000000,7607.3601
2021-02-22 00:00:00.000000,10482.1343
2021-02-23 00:00:00.000000,8474.5994
2021-02-24 00:00:00.000000,6290.109
2021-02-25 00:00:00.000000,5762.9288
2021-02-26 00:00:00.000000,7908.008
2021-02-27 00:00:00.000000,7498.791
2021-02-28 00:00:00.000000,7502.726
2021-03-01 00:00:00.000000,7450.8627
2021-03-02 00:00:00.000000,7967.5617
2021-03-03 00:00:00.000000,7415.343
2021-03-04 00:00:00.000000,8178.014
2021-03-05 00:00:00.000000,13600.3953
2021-03-06 00:00:00.000000,11510.4373
2021-03-07 00:00:00.000000,11093.9466
2021-03-08 00:00:00.000000,21602.0914
2021-03-09 00:00:00.000000,23361.706
2021-03-10 00:00:00.000000,18512.3905
2021-03-11 00:00:00.000000,15206.4685
2021-03-12 00:00:00.000000,16123.3948
2021-03-13 00:00:00.000000,14831.7136
2021-03-14 00:00:00.000000,11432.0156
2021-03-15 00:00:00.000000,11091.1928
2021-03-16 00:00:00.000000,9526.9771
2021-03-17 00:00:00.000000,10350.1414
2021-03-18 00:00:00.000000,16311.4217
2021-03-19 00:00:00.000000,10348.2684
2021-03-20 00:00:00.000000,10406.6127
2021-03-21 00:00:00.000000,9509.5125
2021-03-22 00:00:00.000000,11258.3622
2021-03-23 00:00:00.000000,9092.8863
2021-03-24 00:00:00.000000,28158.663621
2021-03-25 00:00:00.000000,26774.957796
2021-03-26 00:00:00.000000,21612.394697
2021-03-27 00:00:00.000000,15736.442846
2021-03-28 00:00:00.000000,13336.182117
2021-03-29 00:00:00.000000,12738.796483
2021-03-30 00:00:00.000000,10217.474938
2021-03-31 00:00:00.000000,9634.01238699999
2021-04-01 00:00:00.000000,17752.572476
2021-04-02 00:00:00.000000,16602.113963
2021-04-03 00:00:00.000000,12415.083677
2021-04-04 00:00:00.000000,11136.146872
2021-04-05 00:00:00.000000,18555.425557
2021-04-06 00:00:00.000000,15589.290013
2021-04-07 00:00:00.000000,29764.641495
2021-04-08 00:00:00.000000,37417.046959
2021-04-09 00:00:00.000000,29985.563167
2021-04-10 00:00:00.000000,19706.965237
2021-04-11 00:00:00.000000,13036.8334
2021-04-12 00:00:00.000000,12910.3803
2021-04-13 00:00:00.000000,13352.3142
2021-04-14 00:00:00.000000,12226.964
2021-04-15 00:00:00.000000,12502.3909
2021-04-16 00:00:00.000000,11648.9183
2021-04-17 00:00:00.000000,9601.587
2021-04-18 00:00:00.000000,9016.9451
2021-04-19 00:00:00.000000,2082.1515
2021-04-20 00:00:00.000000,9665.0463
2021-04-21 00:00:00.000000,28211.9114
2021-04-22 00:00:00.000000,23547.2739
2021-04-23 00:00:00.000000,21378.0129
2021-04-24 00:00:00.000000,15212.1777
